Publisher Label,Publisher URI,Site reference,Site_name,Summary,Description 1,Description_2,Type 1,Type 2,Tags,Address_1,Address 2,Address 3,Postcode,Website 1,Website 2,Email,Phone,Category Attraction,Category - arts and culture,Category - food/drink producer,Category - nature/environment,Category - history/heritage,Category - ative lifestyles/sports,Category - open spaces,Category - shopping/retail,Category - family friendly,Category - venue for events,Venue_Description,All_Weather,Opening_Times,Accessibility,Pet friendly,Parking,Visit Time,UPRN,Easting,Northing,Latitude,Longitude,NSC_Map_Link,Google_Map_Link,Walk_Time_Bus,Nearest_Bus_Stop,Walk_Time_Train,Nearest_Train_Station,Directions,Nearest Bus Service,Image,Cost Free,Cost Details,Slug
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,98,Tickenham Hill,Woodland walks with views across Nailsea moor to coast and across Gordano Valley,"Best time to visit this beautiful landscape is between April and July. Wander through the ancient landscape and enjoy a diverse range of trees and flowers. 

Access to the reserve is on foot only and is restricted to periods when livestock are not grazing.",,Nature reserve,Walking,Landscape; Nature; Outdoors and active;  Walking,Tickenham Nature Reserve,Cadbury Camp Lane,Tickenham,,http://www.avonwildlifetrust.org.uk/reserves/tickenham-hill,,,01275 852627,0,0,0,1,0,0,1,0,1,0,,outdoors,open all year,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 2 hours,,347474,171919,51.44381101,-2.757167449,,"https://www.google.co.uk/maps/place/@51.44381101450118,-2.757167448661905,17z",Less than 15 minutes,88,30 - 60 minutes,Nailsea and Backwell Railway Station,,,https://farm1.staticflickr.com/264/20094502059_2d1238c1fe.jpg,1,,Tickenham-Hill
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,97,Theatre Orchard,Company that brings live theatre tours to a host of surprising spaces and places: from historic houses to village halls; from woodland glades to farmyards; supporting a nationwide network of touring performance.,"They also engage local people in arts and community projects that build connections, skills and confidence.",,Arts and culture,Live entertainment,Arts and culture;Live theatre; dance; performance art; comedy,Across North Somerset,62 Birch Road,Bristol,BS3 1PF,http://www.thetheatreorchard.org.uk/,,becky@thetheatreorchard.org.uk,7952619763,0,1,0,0,0,0,0,0,1,0,,Indoors & Outdoors,All year Round,check website,check with site,parking nearby,Up to 2 hrs,,343434,167500,51.40369125,-2.814584928,http://map.n-somerset.gov.uk/MyNS.html?scale=200000&x=343413&y=167304,"https://www.google.co.uk/maps/place/@51.403691253928024,-2.8145849280781614,17z",15 - 30 minutes,X7,30 - 60 minutes,Yatton Railway Station,,,https://farm2.staticflickr.com/1575/23767278703_3e5f8b9c69.jpg,0,charges apply,Theatre-Orchard
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,96,The Veg Box,"Greengrocers selling organic and local veg, fruit and eggs, as well as dried groceries","The Veg Box also offers a delivery scheme and wholesale to cafes, please contact for more details",,Food and Drink,Goods for sale,Food and drink; Goods for sale; Shop,17,Old Street,Clevedon,BS21 6ND,http://www.thevegbox.biz,,info@thevegbox.biz,01275 343 792,0,0,1,0,0,0,0,1,0,0,,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 30 minutes,24042118,340942,171171,51.43644153,-2.851018954,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=340942&y=171171,"https://www.google.co.uk/maps/place/@51.43644152836827,-2.8510189541582256,17z",Less than 15 minutes,X7,Over 60 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/08/Local-Veg-e1438608825126.jpg,1,,The-Veg-Box
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,95,The Theatre Shop,"Venue hosts a variety of music, local theatre, arts and local group events.",,,Arts and culture,Live entertainment,Arts and culture;Theatre; comedy; live entertainment,Queens Square,,Clevedon,,http://www.theatreshop.org.uk/,,,,0,1,0,0,0,0,0,0,1,0,,indoors,All year Round,check website,check with site,parking nearby,Up to 2 hours,,343434,167500,51.40369125,-2.814584928,http://map.n-somerset.gov.uk/MyNS.html?scale=200000&x=343413&y=167304,"https://www.google.co.uk/maps/place/@51.403691253928024,-2.8145849280781614,17z",15 - 30 minutes,X7,30 - 60 minutes,Yatton Railway Station,,,https://farm2.staticflickr.com/1663/24027965269_ac9ecb9b33.jpg,0,charges apply,The-Theatre-Shop
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,94,The Strawberry Line,Walk and cycle traffic free all the way from Yatton to Cheddar on the fabulous Strawberry line,"The Cheddar Valley Line, which ran from Yatton railway station through to Cheddar and Wells, became known as the Strawberry Line because of the volume of locally grown strawberries that it carried to London markets. The Strawberry Line survived until the Beeching Axe closed it in 1963. 

The Strawberry line is a popular walking and cycling route, as well as nature reserve.","The journey officially starts at the Strawberry Line cafe at Yatton, but can be joined at many different places, including Congresbury, Sandford (by Thatchers Cider and station) and Winscombe",Walking,Cycling,Walking; Cycle;Nature; History; Outdoors and active; Cycling; Picnic area,Yatton Railway Station,Station Road,Yatton,BS49 4,http://www.strawberryline.org.uk,http://www.thestrawberryline.co.uk/,,,1,0,0,1,1,1,1,0,1,0,,outdoors,open all year,accessible - check website for restrictions,dog friendly,public parking is available nearby,up to a whole day,24137498,341978,160826,51.34354123,-2.834425031,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=341977.88&y=160826.26,"https://www.google.co.uk/maps/place/@51.343541226901614,-2.8344250307426657,17z",15 - 30 minutes,62,Over 60 minutes,Yatton Railway Station,,,https://farm1.staticflickr.com/514/18739978348_83608c7655.jpg,1,,The-Strawberry-Line
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,93,The Old Town Quarry,Artists studios with regular exhibitions and events. Rowan Tree cafe and nature reserve also situated at the quarry.,,,Arts and culture,Studios,Arts and culture;studio;gallery; shopping;artists; cafe,Old Town Quarry,South Road,Weston-Super-Mare,BS23 2LU,http://www.oldtownquarry.co.uk/  http://www.qarts.co.uk/about/4582963860,,,01934 628050,0,1,0,1,0,0,0,0,1,0,,indoors,All year round,check website,Yes,Yes,Up to 2 hrs,24097889,331957,162373,51.35633359,-2.978572219,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331957&y=162373,"https://www.google.co.uk/maps/place/@51.35633359111028,-2.9785722192434805,17z",Less than 15 minutes,C2,15 - 30 minutes,Weston-super-Mare Railway Station,,,https://farm2.staticflickr.com/1570/24367769066_5905c51cf2.jpg,1,,The-Old-Town-Quarry
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,92,The Old School Rooms,"The Old School Rooms is a community run and managed space, home to the library and many events throughout the year",,,Venue,History,Music; Dance; Active/sports; Venue,The Old School Rooms,Station Road,Congresbury,BS49 5DX,http://www.congresbury-pc.gov.uk/Congresbury-Parish-Council/rooms_for_hire-2603.aspx,,clerk@congresbury-pc.gov.uk,01934 838802,0,0,0,0,0,0,0,0,0,1,Rooms available all with disabled access,indoors,open all year,accessible - check website for restrictions,check website for more details,onsite parking available,,24051608,343588,163871,51.37107865,-2.811794177,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=343588&y=163871,"https://www.google.co.uk/maps/place/@51.37107864791198,-2.811794176902996,17z",Less than 15 minutes,X1,30 - 60 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_210979459.jpg,1,,The-Old-School-Rooms
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,91,The Mick Aston Uphill walk,Explore the ancient archaeological sites in Uphill on a walk devised by late Mick Aston of TVs Time Team.,"Stunning views of the Bristol Channel, the Mendips and the Somerset Levels, open grassland of the Mendip limestone upland, the rhynes (ditches) and wetlands of the Levels, the tidal mud of the creek with its changing water levels, and the boats at Uphill boatyard.

Very steep climb, difficult wheelchair access through gate to the churchyard and along an overgrown grass path.",,Walking,History,Walking; History; Outdoors and active; Landscape,Uphill Boatyard,Uphill Way,Uphill,BS23 4XR,http://www.visitchurches.org.uk/DaysOut/Walks/MickAston/,,,,0,0,0,1,1,0,1,0,1,0,,outdoors,open all year,some restrictions - check website,dog friendly,public parking is available nearby,up to 4 hours,24000590,331482,158439,51.3209077,-2.984635026,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331482&y=158439,"https://www.google.co.uk/maps/place/@51.32090770271112,-2.984635026205995,17z",Less than 15 minutes,5,30 - 60 minutes,Weston-super-Mare Railway Station,,,https://c4.staticflickr.com/8/7730/17971297250_e2db8894b3.jpg,1,,The-Mick-Aston-Uphill-walk
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,90,The Exquisite Cake Company,"Specialists in homemade cupcakes using locally sourced ingredients, made freshly in a proper kitchen, no added chemical, preservatives, additives or flavours.

Opening times by appointment.","Cookery and bakery lessons available for adults and children. 

Cakes are also supplied to wholesalers, delicatessens and restaurants. The Exquisite Cake Company also design cakes for any special occasion. 

Please call for more information or see website.",,Food and Drink,Bakery,Bakery; Food and drink; Goods for sale,Gable Farm,,Wraxall,BS48 1NE,http://www.exquisitecakecompany.com,,abby@exquisitecakecompany.com,07974 000 001,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24074447,350318,170702,51.43312641,-2.71607859,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=350318&y=170702,"https://www.google.co.uk/maps/place/@51.43312640749742,-2.716078590324315,17z",Less than 15 minutes,X9,30 - 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_178036871.jpg,0,,The-Exquisite-Cake-Company
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,89,The Cupcake Bakery,Handmade bespoke cupcakes for every occasion using locally sourced ingredients.,"This bakery is not open to the public, but can deliver direct to your door (subject to minimum order). 

Please call for more information or see website.

Produce is also sold at local farmers markets",,Food and Drink,Bakery,Bakery; Food and drink; Goods for sale,,Phoenix Way,Portishead,BS20 7JX,http://www.thecupcakebakery.co.uk,,enquiries@thecupcakebakery.co.uk,01275 817 999,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,10023719418,347553,176402,51.48412423,-2.756696955,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=347553&y=176402,"https://www.google.co.uk/maps/place/@51.484124229259216,-2.756696955007481,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7743/18195506112_c1a1237ef7.jpg,0,,The-Cupcake-Bakery
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,88,The Campus Libary,Library,Library Locking Castle,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Highlands Lane,Locking Castle,Weston-Super-Mare,BS24 7DX,http://www.the-campus.org.uk/,,campus@n-somerset.gov.uk,01934 427 427,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24122397,336363,161921,51.35278183,-2.915223824,,"https://www.google.co.uk/maps/place/@51.35278183413891,-2.9152238243065702,17z",Less than 15 minutes,X7,Less than 15 minutes,Worle Parkway Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/CAMPUS_library.jpg,1,Free,The-Campus-Libary
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,87,The Blue Room,"An arts gallery and creative space for local artists to sell and showcase their work in pleasant and welcoming surroundings. Run as a social enterprise, the Blue Room seeks to engage with the local community, both as exhibitors and customers.","The Blue Room is an arts and crafts gallery, based in Nailsea, providing a space for local artists to sell and showcase their work in pleasant and welcoming surroundings. As a social enterprise our purpose is to engage with the local community, both as exhibitors and customers. This engagement includes the hosting of exhibitions and provides workshops at reasonable cost.  Refreshments also available at The Craft Cafe Tea Room when you visit.",,Art and culture,Gallery,Art and culture; Gallery; shopping,The Sion,Crown Glass Place,Nailsea,BS48 1RB,http://www.theblue-room.co.uk,,enquiries@theblue-room.co.uk,01275 853869,0,1,0,0,0,0,0,1,1,1,,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,no pets allowed,public parking is available nearby,up to 2 hours,24066998,347334,170643,51.43232583,-2.758991838,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=347334&y=170643,"https://www.google.co.uk/maps/place/@51.43232582977146,-2.7589918382484293,17z",Less than 15 minutes,X8,30 - 60 minutes,Nailsea and Backwell Railway Station,,,https://farm1.staticflickr.com/590/22609866674_55df8d7eb4.jpg,1,,The-Blue-Room
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,86,Thatchers cider,"Over 100 years of cider making heritage goes in to every one of Thatchers traditional Somerset ciders. For generations the family has been perfecting their orchards, their craft and their cider","Thatchers has a whole range that takes you from fresh, vibrant and modern, to traditional, vintage, speciality and single variety.

Thatchers welcome people to take a walk through some of the orchards, which are on the Strawberry Line footpath, into Sandford from Yatton.They also have a Cider Shop on site.",,Food and Drink,Drink producer,Food and Drink; Cider; Shop; History,Myrtle Farm,Sandford Road,Sandford,BS25 5RA,http://www.thatcherscider.co.uk/,,info@thatcherscider.co.uk,01934 822862,0,0,1,0,1,0,0,1,1,0,,indoors and outdoors,seasonal restrictions apply - see website,accessible - check website for restrictions,check website for more details,onsite parking available,up to 2 hours,24049081,342140,159619,51.33270336,-2.831901439,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=342140&y=159619,"https://www.google.co.uk/maps/place/@51.332703362223285,-2.8319014387080537,17z",Less than 15 minutes,62,Over 60 minutes,Worle Parkway Railway Station,,,https://c1.staticflickr.com/9/8803/18160078981_3950f9a586.jpg,1,,Thatchers-cider
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,85,Teona Pottery,Collection of unique high quality ceramic and pottery gifts. Courses also available.,,,Arts and culture,Studios,Arts and culture;studio; shopping;pottery; ceramics; gallery,The Anchorage,Woodlands Road,Portishead,BS20 6LN,http://www.teonapottery.com/,,tean@teonapottery.com,01275 842 726,0,1,0,0,0,0,0,1,0,0,,indoors,,check website,No,parking nearby,Up to 1 hour,24065167,346943,177582,51.49467646,-2.76565895,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346943&y=177582,"https://www.google.co.uk/maps/place/@51.49467646254865,-2.765658950229752,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm2.staticflickr.com/1665/24367701016_dca2eef6ef.jpg,1,,Teona-Pottery
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,84,Street Art Trail,Follow Westons Street Art Trail to see some of the towns hidden works of art.,There are 15 different pieces of street art to find as you follow the map around the town.,,Arts and culture,Walking,Arts and culture;modern; walking;street art; graffiti; outdoors; trail,Weston Town Centre,Starting At Carlton Street,,BS23 1UA,http://www.wsmtcp.co.uk/bid/news/pdf/ArtTrailMap.pdf,,,,0,1,0,0,0,0,1,0,1,0,,Outdoors,All year round,check website,Yes,Town centre parking. If you start at the beginning,Up to 2 hrs,24001851,331905,161093,51.34481942,-2.979073609,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331905&y=161093,"https://www.google.co.uk/maps/place/@51.34481942007089,-2.979073608593324,17z",Less than 15 minutes,20,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://farm2.staticflickr.com/1620/24098145360_486e59147c.jpg,1,,Street-Art-Trail
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,83,Steep Holm,Steep Holm is an island nature reserve in the Bristol Channel with a fascinating history. Steep Hold lies about five miles (8 km) offshore from the seaside resort of Weston super Mare,"Steep Holm can be accessed by scheduled boat trips and is valued for being a unique nature reserve and a Site of Special Scientific Interest. The island is famed for its beautiful wild peony that flowers in May. 

Steep Holm is also home to the remains of several buildings including a 12th century Augustinian priory and Victorian fortifications. The former Barracks have been restored as a Visitor and Education/Exhibition Centre. There is a small cafe that is open seasonally.","The six gun batteries and cannons are largely intact, and later Second World War additions including searchlight posts, gun batteries and rocket launcher sites can also be seen",Nature Reserve,Walking,Attraction; Sailing/boats; Nature; Walking; picnic area; Walking,Steep Holm,,Bristol Channel,,http://www.steepholm.org.uk/,,,01934 5221215,1,0,0,1,1,1,1,0,1,0,,outdoors,seasonal restrictions apply - see website,some steep gradients,check website for more details,no onsite parking,up to a whole day,24131119,322885,160604,51.33927052,-3.108451036,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=322885&y=160604,"https://www.google.co.uk/maps/place/@51.3392705156882,-3.1084510356240784,17z",Over 60 minutes,20,Over 60 minutes,Weston-super-Mare Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/image004.jpg,0,charges for boat transfers apply,Steep-Holm
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,82,St Nicholas Church Uphill,"Climb the steep hill to visit this solitary, partly ruined hilltop church, with fantastic panoramic views over the Bristol Channel, Brean Down and Weston super Mare.",There is a very steep climb to visit this interesting landmark from Uphill.,,Church,Historic structure/site,Church; Historic Structure/site,St Nicholas' Church,Uphill Way,Uphill,BS23 4TN,http://www.visitchurches.org.uk/Ourchurches/Completelistofchurches/St-Nicholas-Church-Uphill-Somerset/,,,,0,0,0,0,1,0,1,0,0,0,,indoors and outdoors,seasonal restrictions apply - see website,some steep gradients,dog friendly,public parking is available nearby,up to 2 hours,24134355,331614,158373,51.32033108,-2.982732322,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331613.73&y=158373.1,"https://www.google.co.uk/maps/place/@51.320331082480756,-2.9827323219727755,17z",Less than 15 minutes,5,30 - 60 minutes,Weston-super-Mare Railway Station,,,https://c2.staticflickr.com/8/7729/18132452466_943c8f2347.jpg,1,,St-Nicholas--Church-Uphill
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,81,St Nicholas Church Brockley,"This beautiful little church features a pirates gravestone in the churchyard, a Norman font and a stone pulpit dating from 1480.",The church was restored in the 1820s by the Pigott family who were associated with the church for over 300 years.,,Church,Historic structure/site,Church; Historic Structure/site,St Nicholas' Church,St Nicolas Way,Brockley,BS48 3AU,http://www.visitchurches.org.uk/Ourchurches/Completelistofchurches/St-Nicholas-Church-Brockley-Somerset/,,,,0,0,0,0,1,0,0,0,0,0,,indoors and outdoors,special dates only - see website,not known - check website,check website for more details,public parking is available nearby,up to 2 hours,24125455,346586,166975,51.39927703,-2.769197352,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346586&y=166975,"https://www.google.co.uk/maps/place/@51.399277028159545,-2.7691973524473865,17z",Less than 15 minutes,X2,30 - 60 minutes,Nailsea and Backwell Railway Station,,,http://www.visitchurches.org.uk/Assets/ChurchimagesSouthWestregion/SomersetBrockleyStNicholasint.jpg,1,,St-Nicholas--Church-Brockley
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,80,St Michaels Church Dundry,The church dates back to the 15th century and features a prominent tower that was erected by society of Merchant Venturers of Bristol.,The four stage tower is dated 1448 and the church also features a stone dole table outside where alms were given to the poor. The church is a scheduled Ancient Monument and a Grade 1 listed building.,,Church,Historic structure/site,Church; Historic Structure/site,St Michael's Church,Church Road,Dundry,BS41 8LH,http://www.lakesidegroup.org.uk/churches/,,,,0,0,0,0,1,0,0,0,0,0,,indoors and outdoors,special dates only - see website,some restrictions - check website,check website for more details,public parking is available nearby,up to 2 hours,24127080,355753,166859,51.39902487,-2.637418589,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=355753&y=166859,"https://www.google.co.uk/maps/place/@51.39902486758711,-2.637418588674748,17z",Less than 15 minutes,672,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Dundry-fairlawns.JPG/240px-Dundry-fairlawns.JPG,1,,St-Michael-s-Church-Dundry
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,79,St Michaels Church Clapton in Gordano,St Michaels closed in 1995 but due to its architectural interest was adopted by the Churches Trust and occasional services are held throughout the year.,"The 12th century tympanum is the oldest visible part of the church to have survived, however the majority of the building is from the 13th century.

Inside are reredos and benches, a 14th century font and a late 17th century monument.",,Church,Historic structure/site,Church; Historic Structure/site,St Michael's Church,Clevedon Lane,Clapton-In-Gordano,BS20 7RH,http://www.visitchurches.org.uk/Ourchurches/Completelistofchurches/St-Michaels-Church-ClaptoninGordano-Somerset/,,,,0,0,0,0,1,0,0,0,0,0,,indoors and outdoors,special dates only - see website,some restrictions - check website,check website for more details,public parking is available nearby,up to 2 hours,24136850,346277,176991,51.48929992,-2.775161428,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346277&y=176991,"https://www.google.co.uk/maps/place/@51.48929992461756,-2.775161428188641,17z",Less than 15 minutes,88,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://c1.staticflickr.com/9/8796/18159001635_7caaf30d57.jpg,1,,St-Michael-s-Church-Clapton-in-Gordano
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,78,St Bridgets Church Chelvey,"Grade 1 listed church, churchyard cross, Conservation Area","Includes a Norman south doorway and octagonal font. 

There is a Jacobean altar table dating from between 1250 and 1275 with the tall figure of an unknown 13th century knight.",,Church,Historic structure/site,Church; Historic Structure/site,Church Of St Bridget,Chelvey Road,Chelvey,BS48 4AA,http://www.achurchnearyou.com/chelvey-st-bridget/,http://www.ndlhs.org.uk/ebooks/AShortHistoryOfChelvey.pdf,,,0,0,0,0,1,0,0,0,0,0,,indoors,seasonal restrictions apply - see website,accessible - check website for restrictions,Guide Dogs only,onsite parking available,up to 2 hours,24125443,346619,168365,51.41177758,-2.768932465,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346619&y=168365,"https://www.google.co.uk/maps/place/@51.41177758383772,-2.7689324648014857,17z",15 - 30 minutes,X9,30 - 60 minutes,Nailsea and Backwell Railway Station,,,http://www.achurchnearyou.com/photo_gallery/37878.JPG,1,,St-Bridget-s-Church-Chelvey
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,77,"Spring Farm, Farm Shop",Farm shop specialising in home bred Texel/Dorset lamb and Angus beef reared on the farm.,"Spring Farm also sells home/locally produced fresh and cooked meats, bacon, cheese and eggs",,Food and Drink,Farm shop,Farm shop; Food and drink; Goods for sale,Spring Farm,Watery Lane,Winford,BS40 8HD,,,sarah.gell@virgin.net,01275 332 283,0,0,1,0,0,0,0,1,0,0,,indoors,open all year except main bank holidays - see website,accessible - check for restrictions,check for more details,onsite parking available,up to 30 minutes,24139383,354779,164079,51.37370951,-2.650991333,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=354778.87&y=164078.97,"https://www.google.co.uk/maps/place/@51.37370951111417,-2.6509913328168255,17z",15 - 30 minutes,135,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm1.staticflickr.com/467/18305373774_24b42fa065.jpg,0,,Spring-Farm--Farm-Shop
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,76,Sladers Leigh Local Nature Reserve,"The site has a wonderful wildflower meadow, ancient trees, walks, and is conveniently situated close to the Strawberry Line and Kings wood (National Trust).",,,Nature reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking,Strawberry Line,Yadley Lane,Winscombe,,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=27,,,,0,0,0,1,1,1,1,0,1,0,,outdoors,open all year,some restrictions - check website,dog friendly,public parking is available nearby,up to 2 hours,,342121,156066,51.30075658,-2.831596453,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=342121&y=156066,"https://www.google.co.uk/maps/place/@51.30075658053991,-2.8315964534941607,17z",Less than 15 minutes,126,Over 60 minutes,Worle Parkway Railway Station,,,https://c1.staticflickr.com/1/258/18448606060_b2fcdb9602.jpg,1,,Slader-s-Leigh-Local-Nature-Reserve
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,75,Silver Springs Fishery,"Tucked away just off the popular Strawberry line, Silver Springs consists of 2 main lakes stocking a variety of fish including carp, rudd and roach.","There is a popular cafe onsite and events are held throughout the year, see website for details.",,Fishing,Outdoors and active,Fishing; Outdoors and active,Silver Springs Fishery,Silver Street,Congresbury,BS49 5EY,,,,01934 877073,0,0,0,1,0,1,1,0,0,0,,outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,onsite parking available,up to a whole day,24051059,342852,162916,51.36241863,-2.822212526,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=342852.1&y=162916.2,"https://www.google.co.uk/maps/place/@51.36241863491499,-2.8222125261417528,17z",15 - 30 minutes,X2,Over 60 minutes,Yatton Railway Station,,,https://c2.staticflickr.com/8/7771/18160171491_4979b35f04.jpg,0,charges apply,Silver-Springs-Fishery
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,74,Sheepway Meats,"Farm shop selling home produced pork and lamb, local beef, free range chicken, eggs, homemade sausages, burgers and faggots.",Please call for more details of how to order and for forthcoming sales/events,,Food and Drink,Goods for sale,Farm shop; Food and drink; Goods for sale,Shipway Gate Farm,Sheepway,Portishead,BS20 7TB,,,,01275 397 000,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24072851,348662,176027,51.48085457,-2.740672599,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=348662&y=176027,"https://www.google.co.uk/maps/place/@51.480854568967096,-2.740672598621433,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_141202663.jpg,0,,Sheepway-Meats
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,73,SeaQuarium,"The SeaQuarium is an aquarium which boasts over 30 exhibits containing sharks, rays and other sea creatures.","Situated on its own unique pier on Weston super Mare seafront, the aquarium showcases a range of freshwater, marine and tropical species from around the world in 10 different zones. 

The SeaQuarium includes a Tropical Reef Zone with Puffer Fish, Rainforest River Zone with Piranha and Underwater Ocean Tunnel with sharks.",,Attraction,Family friendly,Attraction; Family friendly; Beach,Seaquarium,Marine Parade,Weston-Super-Mare,BS23 1BE,http://www.seaquarium.co.uk,,,,1,0,0,1,0,0,0,0,1,0,,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 4 hours,24001403,331663,160849,51.34259667,-2.982500768,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331663&y=160849,"https://www.google.co.uk/maps/place/@51.34259667315626,-2.9825007677809867,17z",Less than 15 minutes,24,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://c2.staticflickr.com/8/7768/17536272034_794d66ee0b.jpg,0,entry charges apply - see website,SeaQuarium
